Rank,Name,Country,Industry,Reg_1,Reg_2,Reg_3,
265,Jorn Rausing,Sweden,Services,,,,
266,Zhang Bangxin,China,Services,,,,
267,August von Finck,Germany,Diversified,,,,
268,Andy Beal,United States,Finance,,,,
269,George Lucas,United States,Entertainment,,,,
270,German Khan,Russia,Diversified,,,,
271,Wee Cho Yaw,Singapore,Finance,,,,
272,Denise Coates,United Kingdom,Entertainment,,,,
273,Alexander Abramov,Russia,Industrial,D-ALEX,,,
274,Qian Dongqi,China,Technology,,,,
275,Harold Hamm,United States,Energy,,,,
276,Iskandar Makhmudov,Russia,Commodities,OE-IIH,,,
277,John Malone,United States,Media & Telecom,,,,
278,Hansjoerg Wyss,Switzerland,Health Care,,,,
279,Rupert Murdoch,United States,Media & Telecom,,,,
280,James Pattison,Canada,Media & Telecom,,,,
281,Jude Reyes,United States,Consumer,,,,
282,Chris Reyes,United States,Consumer,N550RH,N108R,,
283,Tatyana Bakalchuk,Russia,Technology,,,,
284,Gabe Newell,United States,Technology,,,,
285,Andrew Currie,United Kingdom,Industrial,,,,
286,Johann Rupert & Family,South Africa,Diversified,,,,
287,Silvio Berlusconi,Italy,Media & Telecom,,,,
288,John Reece,United Kingdom,Industrial,,,,
289,Cheng Xue,China,Food & Beverage,,,,
290,Willi Liebherr,Germany,Industrial,,,,
291,Isolde Liebherr,Germany,Industrial,,,,
292,John Albert Sobrato,United States,Real-Estate,,,,
293,Marc Benioff,United States,Technology,,,,
294,Denis Sverdlov,Russia,Technology,,,,
295,Li Zhenguo,China,Energy,,,,
296,Sandra Ortega Mera,Spain,Retail,,,,
297,Hui Wing Mau,Hong Kong,Real-Estate,,,,
298,Liu Jincheng,China,Industrial,,,,
299,Theo Albrecht Jr.,Germany,Retail,,,,
300,Dennis Washington,United States,Industrial,N162WC,,,
301,Stephen Ross,United States,Real-Estate,,,,
302,Lin Bin,United States,Technology,,,,
303,Mohammed Al Amoudi,Saudi Arabia,Energy,,,,
304,Robert Smith,United States,Finance,,,,
305,Rocco Commisso,United States,Media & Telecom,,,,
306,Benu Bangur,India,Commodities,,,,
307,German Larrea,Mexico,Commodities,,,,
308,Anthony von Mandl,Canda,Consumer,,,,
309,Shigenobu Nagamori,Japan,Industrial,,,,
310,Lu Zhongfang,China,Services,,,,
311,Jerry Jones,United States,Entertainment,N1DC,,,
312,Pei Zhenhua,China,Industrial,,,,
313,Sun Hongbin,United States,Real-Estate,,,,
314,Ugur Sahin,Germany,Health Care,,,,
315,Joseph Lau,Hong Kong,Real-Estate,,,,
316,Xu Shihui,China,Food & Beverage,,,,
317,Li Ge,United States,Health Care,,,,
318,Ned Johnson IV,United States,Finance,,,,
319,Elizabeth Johnson,United States,Finance,,,,
320,Alexander Otto,Germany,Real-Estate,,,,
321,Ruan Xueping,China,Industrial,,,,
322,Ruan Liping,China,Industrial,,,,
323,Daniel Dines,Romania,Technology,,,,
324,Carl Bennet,Sweden,Finance,,,,
325,Izzy Englander,United States,Finance,,,,
326,Magdalena Martullo,Switzerland,Industrial,,,,
327,Laurent Dassault,France,Diversified,,,,
328,Marie-Helene Habert-Dassault,France,Diversified,,,,
329,Thierry Dassault,France,Diversified,,,,
330,Ralph Lauren,United States,Consumer,N711RL,,,
331,Richard Kinder,United States,Energy,,,,
332,Kei Hoi Pang,China,Real-Estate,,,,
333,Juan Beckmann Vidal & Family,Mexico,Food & Beverage,,,,
334,Shahid Khan,United States,Consumer,N612FG,,,
335,Yu Renrong,China,Technology,,,,
336,Mat Ishbia,United States,Finance,,,,
337,Rahel Blocher,Switzerland,Industrial,,,,
338,Ludwig Merckle,Germany,Industrial,,,,
339,Chen Jianhua,China,Industrial,,,,
340,Frank Lowy,Australia,Real-Estate,,,,
341,Nicky Oppenheimer,South Africa,Diversified,,,,
342,David Thomson,Canada,Media & Telecom,,,,
343,Taylor Thomson,Canada,Media & Telecom,,,,
344,Peter Thomson,Canada,Media & Telecom,,,,
345,Bob Rich,United States,Food & Beverage,,,,
346,Leonid Fedun,Russia,Energy,,,,
347,Nusli Wadia,India,Diversified,,,,
348,Geoffrey Kwok,Hong Kong,Real-Estate,,,,
349,Finn Rausing,Sweden,Services,,,,
350,Kirsten Rausing,Sweden,Services,,,,
351,George Soros,United States,Finance,,,,
352,Steven Spielberg,United States,Entertainment,,,,
353,Charles Cadogan,United Kingdom,Real-Estate,,,,
354,Liu Hanyuan,China,Industrial,,,,
355,Liz Mohn,Germany,Media & Telecom,,,,
356,Ronda Stryker,United States,Health Care,,,,
357,Yu Yong,China,Finance,,,,
358,Chase Coleman,United States,Finance,,,,
359,Andy Bechtolsheim,Germany,Technology,,,,
360,Hong Ra-hee,Korea,Diversified,,,,
361,Tammy Gustavson,United States,Services,,,,
362,Lin Jianhua,China,Technology,,,,
363,Martin Viessmann & Family,Germany,Industrial,,,,
364,Frederik Paulsen,Sweden,Health Care,,,,
365,Laurence Graff,United Kingdom,Consumer,,,,
366,Takahisa Takahara,Japan,Consumer,,,,
367,John Grayken,Ireland,Finance,,,,
368,Gang Ye,Singapore,Technology,,,,
369,Samuel Yin,Taiwan,Diversified,,,,
370,Wang Laisheng,China,Industrial,,,,
371,Sri Prakash Lohia,Indonesia,Industrial,,,,
372,Axel Oberwelland,Germany,Food & Beverage,,,,
373,Mohamed Al Jaber,Saudi Arabia,Retail,,,,
374,Gwendolyn Sontheim Meyer,United States,Commodities,,,,
375,Pauline Keinath,United States,Commodities,,,,
376,Tom Gores,United States,Finance,,,,
377,Hiroshi Mikitani,Japan,Retail,,,,
378,Jian Jun,China,Consumer,,,,
379,Teh Hong Piow,Malaysia,Finance,,,,
380,Terry Pegula,United States,Energy,,,,
381,Alexey Kuzmichev,Russia,Diversified,,,,
382,John Sall,United States,Technology,,,,
383,Antti Herlin,Finland,Industrial,,,,
384,Chris Hohn,United Kingdom,Finance,,,,
385,David Shaw,United States,Finance,,,,
386,Nassef Sawiris,Egypt,Industrial,,,,
387,Alain Merieux,France,Health Care,,,,
388,Natie Kirsh,South Africa,Food & Beverage,,,,
389,Kenneth Dart,Cayman Islands,Finance,,,,
390,Horst Pudwill,Hong Kong,Consumer,,,,
391,Shari Arison,Israel,Diversified,,,,
392,Nancy Laurie,United States,Retail,N515PL,,,
393,Wang Yusuo,China,Energy,,,,
394,Tan Kim Choo,Singapore,Real-Estate,,,,
395,Stef Wertheimer,Israel,Diversified,,,,
396,Pankaj Patel,India,Health Care,,,,
397,Kjeld Kirk Kristiansen,Denmark,Consumer,,,,
398,Ray Hunt,United States,Energy,,,,
399,Margaretta Taylor,United States,Media & Telecom,,,,
400,James Cox Chambers,United States,Media & Telecom,,,,
401,Katharine Rayner,United States,Media & Telecom,,,,
402,Fredrik Lundberg,Sweden,Real-Estate,,,,
403,Chu Mang Yee,China,Real-Estate,,,,
405,Ernest Garcia III,United States,Consumer,,,,
406,Bertil Hult,Sweden,Diversified,,,,
407,Eric Smidt,United States,Retail,,,,
408,Vincent Bollore,France,Diversified,,,,
409,Joe Lewis,United Kingdom,Diversified,,,,
410,Josh Harris,United States,Finance,,,,
411,J K Irving,Canada,Commodities,,,,
412,Ronald McAulay,Hong Kong,Energy,,,,
413,Jean-Michel Besnier,France,Food & Beverage,,,,
414,Randa Williams,United States,Energy,,,,
415,Dannine Avara,United States,Energy,,,,
416,Scott Duncan,United States,Energy,,,,
417,Milane Frantz,United States,Energy,,,,
418,Sofie Kirk Kristiansen,Denmark,Consumer,,,,
419,Agnete Kirk Thinggaard,Denmark,Consumer,,,,
420,Thomas Kirk Kristiansen,Denmark,Consumer,,,,
421,Wang Laichun,China,Industrial,,,,
422,Xavier Niel,France,Technology,,,,
423,Lynn Schusterman,United States,Energy,,,,
424,Lai Meisong,China,Services,,,,
425,Tom Morris,United Kingdom,Retail,,,,
426,Yasumitsu Shigeta,Japan,Media & Telecom,,,,
427,K P Singh,India,Real-Estate,,,,
428,Rahul Bajaj,India,Diversified,,,,
429,Simon Reuben,United Kingdom,Diversified,,,,
430,David Reuben,United Kingdom,Diversified,,,,
431,Leaf Hua Li,China,Technology,,,,
432,George Kaiser,United States,Energy,,,,
433,Bom Kim,United States,Technology,,,,
434,Andrey Guryev,Russia,Industrial,OE-LJG,,,
435,Chung Mong-Koo,Korea,Industrial,,,,
436,Jean-Pierre Cayard,France,Food & Beverage,,,,
437,Peter Thiel,United States,Finance,,,,
438,Jane Lauder,United States,Consumer,,,,
439,Udo Tschira,Germany,Technology,,,,
440,Harald Tschira,Germany,Technology,,,,
441,Lv Xiang-yang,China,Consumer,,,,
442,Bubba Cathy,United States,Food & Beverage,,,,
443,Ivan Glasenberg,Australia,Commodities,,,,
444,Dan Cathy,United States,Food & Beverage,,,,
445,Andre Hoffmann,Switzerland,Health Care,,,,
446,Philip Ng,Singapore,Real-Estate,,,,
447,Petr Aven,Russia,Diversified,,,,
448,Mark Shoen,United States,Services,,,,
449,Robert Ng,Singapore,Real-Estate,,,,
450,Tsai Eng-Meng,Taiwan,Food & Beverage,,,,
451,Isaac Perlmutter,United States,Entertainment,,,,
452,Linda Campbell,Canada,Media & Telecom,,,,
453,Gaye Farncombe,Canada,Media & Telecom,,,,
454,Michael Herz & Family,Germany,Consumer,,,,
455,Olav Thon,Norway,Real-Estate,,,,
456,Barry Lam,Taiwan,Technology,,,,
457,Robert Rowling,United States,Energy,,,,
458,Barry Diller,United States,Technology,N393BV,,,
459,Wolfgang Herz & Family,Germany,Consumer,,,,
460,Leonard Stern,United States,Real-Estate,,,,
461,Wang Wenjing,China,Technology,,,,
462,Manuel Villar,Philippines,Diversified,,,,
463,Charles Butt & Family,United States,Retail,,,,
464,Anthony Wood,United States,Technology,,,,
465,Peter-Alexander Wacker & Family,Germany,Industrial,,,,
466,Andreas Halvorsen,Norway,Finance,,,,
467,Terry Gou,Taiwan,Industrial,,,,
468,Robert Kraft,United States,Entertainment,N616KG,,,
469,Ann Kroenke,United States,Retail,,,,
470,Henry Samueli,United States,Technology,,,,
471,Frits Goldschmeding,Netherlands,Retail,,,,
472,Arthur Irving,Canada,Energy,,,,
473,Andrey Kozitsyn,Russia,Industrial,,,,
474,Vera Michalski-Hoffmann,Switzerland,Health Care,,,,
475,Maja Hoffmann,Switzerland,Health Care,,,,
476,Majid Al Futtaim,United Arab Emirates,Real-Estate,A6-MAF,,,
477,Edward Roski,United States,Real-Estate,,,,
478,Zhang Lei,China,Finance,,,,
479,Charles Johnson,United States,Finance,,,,
480,Richard Branson,United Kingdom,Diversified,M-GGAL,,,
481,Miuccia Prada,Italy,Consumer,,,,
482,Vivien Chen,Hong Kong,Real-Estate,,,,
483,Marcos Galperin,Argentina,Technology,,,,
484,Bidzina Ivanishvili,Georgia,Diversified,,,,
485,Guenther Fielmann,Germany,Consumer,,,,
486,Patrizio Bertelli,Italy,Consumer,,,,
487,Pat Stryker,United States,Health Care,,,,
488,Francis Choi,Hong Kong,Real-Estate,,,,
489,Jeffery Hildebrand,United States,Energy,,,,
490,Li Ping,China,Industrial,,,,
491,Chip Wilson,Canada,Retail,,,,
492,Marie Besnier Beauvalot,France,Food & Beverage,,,,
493,Clive Calder,United Kingdom,Entertainment,,,,
494,Kwon Hyuk-Bin,Korea,Media & Telecom,,,,
495,Mark Cuban,United States,Technology,N921MT,,,
496,Lino Saputo,Canada,Food & Beverage,,,,
497,Prajogo Pangestu,Indonesia,Energy,,,,
498,Charles Dolan & Family,United States,Media & Telecom,N350DA,,,
499,Vladimir Kim,Kazakhstan,Commodities,,,,
500,Odd Reitan,Norway,Food & Beverage,,,,
